latitude,longitude,name,address,map_url
48.9053123,2.344394599999987,HighTall Vital,"101 Avenue Michelet, 93400 Saint-Ouen, France",http://www.openstreetmap.org/?mlat=48.9053123&mlon=2.344394599999987#map=4/48.9053123/2.344394599999987/m
48.849172,2.3395550000000185,Indonesia,"3 Rue de Vaugirard, 75006 Paris, France",http://www.openstreetmap.org/?mlat=48.849172&mlon=2.3395550000000185#map=4/48.849172/2.3395550000000185/m
43.292963,5.377682999999934,Country Life Marseille,"14 Rue Venture, 13001 Marseille, France",http://www.openstreetmap.org/?mlat=43.292963&mlon=5.377682999999934#map=4/43.292963/5.377682999999934/m
43.551947,7.017914000000019,Citronelle,"16 Rue Bivouac Napoléon, 06400 Cannes, France",http://www.openstreetmap.org/?mlat=43.551947&mlon=7.017914000000019#map=4/43.551947/7.017914000000019/m
48.840808,2.3881830000000264,Oulala Traiteur,"189 Rue de Charenton, 75012 Paris, France",http://www.openstreetmap.org/?mlat=48.840808&mlon=2.3881830000000264#map=4/48.840808/2.3881830000000264/m
46.813198,-71.22759200000002,Om Prana,"241 Rue Saint-Joseph E, Québec, QC G1K 3E8, Canada",http://www.openstreetmap.org/?mlat=46.813198&mlon=-71.22759200000002#map=4/46.813198/-71.22759200000002/m
43.439236,-1.590061999999989,The Nourishing Box,"Bidart, France",http://www.openstreetmap.org/?mlat=43.439236&mlon=-1.590061999999989#map=4/43.439236/-1.590061999999989/m
41.380379,2.1773210000000063,Gopal,"Carrer dels Escudellers, 42, 08002 Barcelona, Barcelona, Espagne",http://www.openstreetmap.org/?mlat=41.380379&mlon=2.1773210000000063#map=4/41.380379/2.1773210000000063/m
41.380213,2.1691170000000284,Juicy Jones,"Carrer del Cardenal Casañas, 7, 08002 Barcelona, Espagne",http://www.openstreetmap.org/?mlat=41.380213&mlon=2.1691170000000284#map=4/41.380213/2.1691170000000284/m
41.382234,2.1680200000000696,Veggie Garden,"Carrer dels Àngels, 3, 08001 Barcelona, Espagne",http://www.openstreetmap.org/?mlat=41.382234&mlon=2.1680200000000696#map=4/41.382234/2.1680200000000696/m
52.512776,13.462259000000017,Ohlala,"Mainzer Straße 18, 10247 Berlin, Allemagne",http://www.openstreetmap.org/?mlat=52.512776&mlon=13.462259000000017#map=4/52.512776/13.462259000000017/m
48.847396,2.370420999999965,Sain bio'z,"34 Avenue Ledru-Rollin, 75012 Paris, France",http://www.openstreetmap.org/?mlat=48.847396&mlon=2.370420999999965#map=4/48.847396/2.370420999999965/m
49.252355,4.0254019999999855,La Maison de Mademoiselle Thi,"130 Rue de Vesle, 51100 Reims, France",http://www.openstreetmap.org/?mlat=49.252355&mlon=4.0254019999999855#map=4/49.252355/4.0254019999999855/m
48.84264,2.5024009999999635,Les Délices de Gigi,67 Avenue Ledru Rollin Le Perreux-sur-Marne,http://www.openstreetmap.org/?mlat=48.84264&mlon=2.5024009999999635#map=4/48.84264/2.5024009999999635/m
45.779413,3.08442500000001,La BerGaMoThée,"1 Place du Mazet, 63000 Clermont-Ferrand",http://www.openstreetmap.org/?mlat=45.779413&mlon=3.08442500000001#map=4/45.779413/3.08442500000001/m
48.859407,2.364111600000001,Jay & Joy,"3 Rue Sainte-Anastase, 75003 Paris, France",http://www.openstreetmap.org/?mlat=48.859407&mlon=2.364111600000001#map=4/48.859407/2.364111600000001/m
50.8785463,4.7033040999999685,Vegaverso,"Tiensestraat 20, 3000 Leuven, Belgique",http://www.openstreetmap.org/?mlat=50.8785463&mlon=4.7033040999999685#map=4/50.8785463/4.7033040999999685/m
51.5419196,-0.1576341999999613,Manna,"4 Erskine Rd, London NW3 3AJ, Royaume-Uni",http://www.openstreetmap.org/?mlat=51.5419196&mlon=-0.1576341999999613#map=4/51.5419196/-0.1576341999999613/m
37.174185,-3.595033999999942,Hicuri Art Vegan,"Plaza de los Gironés, 4, 18009 Granada, Granada, Espagne",http://www.openstreetmap.org/?mlat=37.174185&mlon=-3.595033999999942#map=4/37.174185/-3.595033999999942/m
50.6418979,2.9952964000000293,Celebrazioni,"121 Rue Anne Delavaux, 59160 Lille, France",http://www.openstreetmap.org/?mlat=50.6418979&mlon=2.9952964000000293#map=4/50.6418979/2.9952964000000293/m
50.8279017,4.370428500000003,Ami,"Rue Lesbroussart 13, 1050 Ixelles, Belgique",http://www.openstreetmap.org/?mlat=50.8279017&mlon=4.370428500000003#map=4/50.8279017/4.370428500000003/m
50.84552799999999,4.348694399999999,Kokob,"Rue des Grands Carmes 10-12, 1000 Bruxelles, Belgique",http://www.openstreetmap.org/?mlat=50.84552799999999&mlon=4.348694399999999#map=4/50.84552799999999/4.348694399999999/m
48.584386,7.751441,Une fleur des champs,"4 Rue des Charpentiers, 67000 Strasbourg, France",http://www.openstreetmap.org/?mlat=48.584386&mlon=7.751441#map=4/48.584386/7.751441/m
48.865864,2.3368379999999433,Damouri,"41 Rue de Richelieu, 75001 Paris, France",http://www.openstreetmap.org/?mlat=48.865864&mlon=2.3368379999999433#map=4/48.865864/2.3368379999999433/m
48.866854,2.307657000000063,Siamin,"19 Rue Bayard, 75008 Paris, France",http://www.openstreetmap.org/?mlat=48.866854&mlon=2.307657000000063#map=4/48.866854/2.307657000000063/m
